common_name,scientific_name,migrant,s_lci,s_med,s_uci,m_lci,m_med,m_uci,w_lci,w_med,w_uci,s_m_mig,m_w_mig,w_s_mig,hwi,mass,diet,precip_mean,precip_lq,precip_med,precip_hq,precip_breadth,temp_mean,temp_lq,temp_med,temp_hq,temp_breadth,wind_mean,wind_lq,wind_med,wind_hq,wind_breadth,s_mig,m_mig,w_mig,s_migrant,m_migrant,w_migrant,m_dist_abs,w_dist_abs,s_dist_abs
Jerdon's Leafbird,Chloropsis_jerdoni,non-migrant,474,526.82,590.28,471.56,522.03,560.485,482.49,536.47,570.14,-4.79000000000008,14.4400000000001,-9.64999999999998,15.4,24.5,Omnivore,169.84,0.38,90.22,867.11,866.73,25,20.65,25.05,29.65,9,2.75,0.87,2.56,5.7,4.83,0,0,0,0,0,0,4.79000000000008,14.4400000000001,9.64999999999998
Golden-fronted Leafbird,Chloropsis_aurifrons,non-migrant,628.88,663.41,704,600.411125,640.59,684.345,589.17,614.095,640.59,-22.8199999999999,-26.495,49.3149999999999,20,32.3,Omnivore,210.36,0.48,119.89,1016.26,1015.78,24.32,19.85,24.35,29.05,9.2,2.45,0.85,2.23,5.37,4.52,0,0,0,0,0,0,22.8199999999999,26.495,49.3149999999999
Baya Weaver,Ploceus_philippinus,non-migrant,526.14,612.355,631.73,606.68,612.31,620.935,578.96,619,640.59,-0.0450000000000728,6.69000000000006,-6.64499999999998,18.7,28.2,Granivore,133.78,0,41.03,832.46,832.46,24.91,20.35,24.75,30.05,9.7,2.83,1.18,2.58,5.47,4.29,0,0,0,0,0,0,0.0450000000000728,6.69000000000006,6.64499999999998
Indian Silverbill,Euodice_malabarica,non-migrant,462,570.94,620.24,607.74,625.255,703.65,603.68,619,619,54.3149999999999,-6.255,-48.06,23.2,12,Granivore,91.08,0,43.34,458.61,458.61,25.16,20.35,24.95,30.45,10.1,2.9,1.04,2.58,6.32,5.28,0,0,0,0,0,0,54.3149999999999,6.255,48.06
Scaly-breasted Munia,Lonchura_punctulata,non-migrant,612.31,666.715,728.42,638.03,667.44,703.65,623.92,640.59,659.88,0.725000000000023,-26.85,26.125,22,13.6,Granivore,131.96,0,57.52,738.25,738.25,24.04,15.55,24.25,29.55,14,2.83,1.14,2.58,5.76,4.62,0,0,0,0,0,0,0.725000000000023,26.85,26.125
Black-throated Munia,Lonchura_kelaarti,non-migrant,594.32,739.69,808.29,808.29,819.91,846.03,758.27,790.37,808.29,80.2199999999999,-29.54,-50.68,24,14.1,Granivore,218.52,0.56,132.37,1020.82,1020.26,23.6,19.25,23.25,28.35,9.1,2.35,0.91,2.15,4.88,3.97,0,0,0,0,0,0,80.2199999999999,29.54,50.68
White-rumped Munia,Lonchura_striata,non-migrant,592.74,692.38,730.66,722.61,742.825,762.2,640.59,703.65,722.91,50.4450000000001,-39.1750000000001,-11.27,20.9,12.3,Granivore,195.47,0.24,97.27,1037.86,1037.62,24.32,20.65,24.15,29.35,8.7,2.57,1.03,2.38,5.26,4.23,0,0,0,0,0,0,50.4450000000001,39.1750000000001,11.27
Tricolored Munia,Lonchura_malacca,non-migrant,529.38,703.65,742.28,526.14,632.14,703.65,463.76,504.525,571.485,-71.51,-127.615,199.125,24.4,12.6,Granivore,127.82,0.05,61.42,725.63,725.58,25.01,20.75,24.85,29.95,9.2,2.72,0.98,2.45,5.9,4.91,0,0,0,0,0,0,71.51,127.615,199.125
Red Avadavat,Amandava_amandava,non-migrant,619,672.41,736.23,619,689.12,703.935,619,619,620.155,16.71,-70.12,53.41,13.5,9,Granivore,108.34,0,33.36,631.63,631.63,24.02,15.65,24.15,29.75,14.1,2.98,1.08,2.74,5.69,4.61,0,0,0,0,0,0,16.71,70.12,53.41
House Sparrow,Passer_domesticus,migrant,945.32,945.32,979.28,848.97,850.56,861.86,880.15,907.225,930.815,-94.7600000000001,56.6650000000001,38.095,27.3,26.5,Granivore,154.87,0.16,88.97,678.65,678.49,22.2,13.65,22.45,29.05,15.4,2.7,1.01,2.48,5.64,4.63,38.095,-94.7600000000001,56.6650000000001,1,1,1,94.7600000000001,56.6650000000001,38.095
Yellow-throated Sparrow,Gymnoris_xanthocollis,migrant,728.42,742.76,834.88,939.94,945.32,945.32,589.17,649.37,711.59,202.56,-295.95,93.39,28.5,18.1,Granivore,149.11,0,62.37,926.76,926.76,24.71,20.25,24.65,29.85,9.6,3.09,1.27,2.93,6.18,4.91,93.39,202.56,-295.95,1,1,1,202.56,295.95,93.39
Gray Wagtail,Motacilla_cinerea,migrant,1019.69,1066.89,1087.06,1051.53,1081.19,1100.44,936.965,956.88,979.46,14.3,-124.31,110.01,34.6,17.2,Invertivore,193.25,0.54,130.87,771.98,771.44,22.17,14.45,22.15,28.25,13.8,2.46,0.84,2.22,5.54,4.7,110.01,0,-124.31,1,0,1,14.3,124.31,110.01
White-browed Wagtail,Motacilla_maderaspatensis,non-migrant,731.105,753.88,776.77,732.74,739.78,760.59,726.875,738.27,750.38,-14.1,-1.50999999999999,15.61,25.6,30.5,Invertivore,173.04,0.3,91.73,836.37,836.07,23.9,17.05,23.95,29.45,12.4,2.64,0.97,2.4,5.6,4.63,0,0,0,0,0,0,14.1,1.50999999999999,15.61
Paddyfield Pipit,Anthus_rufulus,migrant,713.67,779.615,831.25,456.16,478.455,526.14,588.71,621.77,642.88,-301.16,143.315,157.845,21.6,20.4,Invertivore,155.97,0.16,79.22,824.9,824.74,24.42,18.25,24.55,30.05,11.8,3.12,1.09,2.8,6.82,5.73,157.845,-301.16,143.315,1,1,1,301.16,143.315,157.845
Nilgiri Pipit,Anthus_nilghiriensis,migrant,2011,2073.88,2176.42,1827.71,1891.16,1928.09,2011,2056.09,2106.76,-182.72,164.93,17.79,15.8,31,Invertivore,189.03,2.51,169.45,517.98,515.47,15.68,10.85,15.65,20.55,9.7,4.07,1.52,3.78,8.14,6.62,0,-182.72,164.93,0,1,1,182.72,164.93,17.79
Crested Bunting,Emberiza_lathami,migrant,709.37,828.29,976.63,832.8,876.24,1086.83,721.66,728.42,784,47.95,-147.82,99.87,17.5,21.9,Granivore,127.97,0,17.28,668.01,668.01,23.09,17.35,23.05,28.95,11.6,4.13,1.8,3.89,8.58,6.78,0,0,-147.82,0,0,1,47.95,147.82,99.87
